,4017,15890,27655
552.605,1.187994366,1.23301753,0.009648512
552.81,1.215221203,1.240359812,0.009796435
553.014,1.23233961,1.243621353,0.009751605
553.218,1.223578428,1.230391913,0.009718054
553.423,1.257305769,1.252555693,0.009717469
553.627,1.195438822,1.240628616,0.009788055
553.831,1.125383898,1.231363216,0.009594599
554.035,1.191695579,1.219839008,0.009583351
554.24,1.19057391,1.2229554,0.00973961
554.444,1.161872798,1.287036783,0.009484729
554.648,1.189792253,1.234123029,0.009507098
554.852,1.246809271,1.217020075,0.009622525
555.057,1.15340425,1.199248792,0.009538186
555.261,1.21136911,1.25995503,0.009720113
555.465,1.223988028,1.204780836,0.009533779
555.669,1.213234217,1.2542624,0.009572454
555.873,1.205167881,1.22111661,0.009594323
556.078,1.19448278,1.224338694,0.009523574
556.282,1.185621155,1.194452328,0.009727133
556.486,1.258320953,1.223142547,0.009630755
556.69,1.182106089,1.242152842,0.009757512
556.894,1.182666458,1.190277938,0.009800458
557.098,1.196673142,1.226029052,0.009647017
557.302,1.16330649,1.23335932,0.009675154
557.506,1.174896042,1.206912944,0.009522087
557.71,1.195318745,1.212001452,0.009579914
557.914,1.190603595,1.251678311,0.009702867
558.118,1.181291947,1.191328447,0.009480403
558.322,1.123736782,1.204574502,0.009412909
558.526,1.157885217,1.177287072,0.009377299
558.73,1.172417025,1.165863505,0.009414861
558.934,1.136732337,1.195917761,0.009320964
559.138,1.212092132,1.210123274,0.009322954
559.342,1.173462116,1.248331607,0.009420078
559.546,1.16367218,1.17253812,0.009294666
559.75,1.185051146,1.218165896,0.009350077
559.954,1.118031694,1.240348193,0.009610978
560.158,1.119366011,1.264593804,0.009682109
560.362,1.138357196,1.205689809,0.009367217
560.565,1.125787793,1.225011621,0.009524568
560.769,1.118109616,1.199028743,0.009364995
560.973,1.166010941,1.211384026,0.009176204
561.177,1.169054148,1.148960743,0.009475445
561.381,1.148673618,1.190242721,0.009065415
561.585,1.117895259,1.196695197,0.009279751
561.788,1.194711814,1.196167265,0.009326894
561.992,1.105256397,1.164841752,0.00917581
562.196,1.162503227,1.111278957,0.009141456
562.4,1.127289268,1.238693409,0.009098172
562.603,1.153040944,1.117371121,0.009356505
562.807,1.11826744,1.156408573,0.00915202
563.011,1.162595942,1.192014854,0.009085938
563.214,1.089207655,1.155223827,0.009208183
563.418,1.100784414,1.169557758,0.00920693
563.622,1.124402684,1.154934659,0.00921831
563.825,1.128402912,1.19932817,0.009157807
564.029,1.170817916,1.143342605,0.009112576
564.233,1.161723464,1.165215634,0.009221869
564.436,1.096643147,1.185336127,0.009269758
564.64,1.124489736,1.184083087,0.009241282
564.843,1.185690034,1.236371399,0.009316385
565.047,1.103421607,1.144107395,0.008989289
565.25,1.155086872,1.172706847,0.008991654
565.454,1.169165124,1.170744632,0.008984436
565.658,1.076525446,1.142439106,0.009067004
565.861,1.121270665,1.166965331,0.009140996
566.065,1.129407333,1.157671116,0.009081389
566.268,1.090552026,1.170582546,0.009068217
566.471,1.16539316,1.196956613,0.008900075
566.675,1.104284784,1.143031182,0.009064155
566.878,1.135708953,1.132360893,0.008925761
567.082,1.098441331,1.13536177,0.008942492
567.285,1.106499443,1.14618707,0.008991958
567.489,1.078778948,1.120081239,0.008946099
567.692,1.116057498,1.117755579,0.008904555
567.895,1.129153822,1.140601237,0.008961905
568.099,1.088781949,1.154397073,0.009126309
568.302,1.160159369,1.119868029,0.00895481
568.505,1.091442801,1.155805032,0.008880705
568.709,1.083445989,1.122390991,0.008932281
568.912,1.122828237,1.093952038,0.00895901
569.115,1.079515773,1.107205527,0.009066395
569.319,1.086404326,1.129587404,0.008775635
569.522,1.044620367,1.139048309,0.008847933
569.725,1.127702514,1.106156397,0.008775327
569.928,1.089704616,1.124147082,0.008735974
570.132,1.07028249,1.174379483,0.008852183
570.335,1.127480043,1.129713971,0.008817212
570.538,1.056015688,1.129471485,0.008790409
570.741,1.046730024,1.165982707,0.008866238
