,4.017,15.481,27.462
519.738,0.512076189,0.567358216,0.602826052
519.945,0.539376212,0.546140957,0.65074688
520.151,0.567479597,0.570847723,0.660078957
520.358,0.651236854,0.564025601,0.649592597
520.564,0.529883892,0.565379619,0.627018996
520.771,0.536857615,0.580112025,0.572767601
520.977,0.516620812,0.546264186,0.6313047
521.183,0.471391387,0.565334904,0.656957307
521.39,0.513039227,0.57408153,0.597461838
521.596,0.548456468,0.571989581,0.637404747
521.802,0.539168306,0.577729014,0.674458818
522.009,0.539286987,0.576207059,0.592038336
522.215,0.544562646,0.528404229,0.617684232
522.421,0.594790017,0.561762902,0.650344992
522.628,0.518806181,0.567709544,0.571041953
522.834,0.582978476,0.566386023,0.662656438
523.04,0.550661842,0.621352639,0.5829155
523.246,0.525724954,0.557885758,0.624542857
523.453,0.548058154,0.567254744,0.588385475
523.659,0.461896085,0.595031591,0.656919835
523.865,0.552450424,0.563655519,0.632570931
524.071,0.48704344,0.581046697,0.61085163
524.277,0.558572561,0.566852043,0.667000715
524.484,0.57419206,0.586378708,0.635432698
524.69,0.602254705,0.579999788,0.592830778
524.896,0.507985041,0.571589671,0.628122276
525.102,0.573668311,0.565312923,0.641241849
525.308,0.511359521,0.568573913,0.646601561
525.514,0.509580878,0.552614461,0.699185909
525.72,0.578654734,0.580879472,0.579779984
525.926,0.523177453,0.602256295,0.700799259
526.132,0.630702094,0.595821539,0.657756547
526.338,0.578910608,0.567249543,0.665312658
526.544,0.517499824,0.548004857,0.626332458
526.75,0.589860463,0.582226674,0.661844236
526.957,0.585667123,0.609724858,0.659455431
527.163,0.523428899,0.582557881,0.655957515
527.368,0.593263079,0.565028037,0.673590431
527.574,0.574778543,0.605154826,0.665252835
527.78,0.484711078,0.56740017,0.633460793
527.986,0.579627224,0.560968606,0.564713021
528.192,0.540138774,0.611699852,0.729003284
528.398,0.626415248,0.592749822,0.666016344
528.604,0.565309669,0.600693847,0.63064689
528.81,0.549761177,0.605483055,0.674721656
529.016,0.563205403,0.600939149,0.598475673
529.222,0.522806275,0.553083166,0.610594859
529.428,0.602188391,0.566420788,0.616676632
529.633,0.565905289,0.591059271,0.607468766
529.839,0.562545527,0.564537193,0.625669612
530.045,0.574310818,0.607550175,0.685472325
530.251,0.565670805,0.571681347,0.692668557
530.457,0.589747318,0.583763025,0.636794686
530.663,0.51129869,0.608291973,0.665746852
530.868,0.517747925,0.5791242,0.634316312
531.074,0.546526166,0.581610822,0.650140605
531.28,0.600798956,0.587643875,0.681879573
531.485,0.572311803,0.572387832,0.654894443
531.691,0.627657608,0.625260169,0.653695906
531.897,0.582190432,0.587402006,0.648112464
532.103,0.571573198,0.589461132,0.663194276
532.308,0.623504985,0.575300678,0.646995679
532.514,0.655380816,0.598960826,0.657110889
532.72,0.532634755,0.583964317,0.627705904
532.925,0.555725226,0.58762927,0.661252309
533.131,0.571372986,0.630152256,0.672478389
533.336,0.603971942,0.56988412,0.669319349
533.542,0.578852298,0.578438443,0.70986526
533.748,0.594571559,0.558522508,0.692419848
533.953,0.559905813,0.602273158,0.687740142
534.159,0.545914429,0.598214909,0.649981022
534.364,0.612772052,0.596256271,0.649528107
534.57,0.591619946,0.589033318,0.683600466
534.775,0.584467168,0.610605474,0.672099242
534.981,0.58530169,0.608247698,0.660202861
535.186,0.565719149,0.57784934,0.71139408
535.392,0.569932519,0.608649867,0.629042169
535.597,0.635920118,0.583496558,0.641312666
535.803,0.586948375,0.593472836,0.646877201
536.008,0.547212823,0.592405357,0.699219249
536.214,0.543936215,0.589846157,0.726167681
536.419,0.590717151,0.632797636,0.653559094
536.624,0.6100677,0.598116961,0.656231793
536.83,0.584706356,0.601885424,0.616063807
537.035,0.586183213,0.615502327,0.646910911
537.241,0.576503897,0.58987166,0.705931923
537.446,0.61312684,0.582674868,0.677340603
537.651,0.59472576,0.637132611,0.690309301
537.857,0.545106084,0.59840265,0.60896235
538.062,0.550550793,0.587046234,0.688719001
538.267,0.593385936,0.613800904,0.714359468
538.472,0.62300197,0.622457715,0.720285789
538.678,0.599595474,0.594033408,0.737301789
538.883,0.616581981,0.583265973,0.720554292
539.088,0.598829113,0.576441261,0.722733414
539.293,0.617689119,0.609599656,0.674599778
539.499,0.615086266,0.583613741,0.657839121
539.704,0.562775175,0.593875348,0.647395859
539.909,0.558414413,0.647776833,0.626394281
540.114,0.570992571,0.62975158,0.665831076
540.319,0.62319351,0.599083898,0.711909661
540.525,0.581373691,0.615568503,0.679338914
540.73,0.593338703,0.590224497,0.673747867
540.935,0.595554399,0.612286024,0.678620627
541.14,0.632190745,0.638100185,0.659949483
541.345,0.562918244,0.600846674,0.675412041
541.55,0.569365812,0.603464851,0.674462775
541.755,0.530511105,0.623656604,0.707151273
541.96,0.635611882,0.652216871,0.65588759
542.165,0.596282948,0.633194952,0.640418997
542.37,0.537746712,0.605256171,0.671109912
542.575,0.573453301,0.633787805,0.627165181
542.78,0.527047179,0.610156518,0.72657269
542.985,0.608758153,0.597289961,0.743906768
543.19,0.546341071,0.646506131,0.615427966
543.395,0.569921528,0.616340947,0.705379356
543.6,0.613561172,0.610630513,0.684097397
543.805,0.616526654,0.607858779,0.685859582
544.01,0.665220719,0.643873746,0.704657595
544.215,0.608750133,0.606085399,0.698441412
544.42,0.576023157,0.620644624,0.671615348
544.625,0.579938592,0.616440886,0.727607586
544.83,0.576158599,0.601055991,0.680155797
545.035,0.621345772,0.62671319,0.62096722
545.239,0.622194517,0.623030827,0.755621105
545.444,0.50556184,0.608465613,0.690868464
545.649,0.525554634,0.592833676,0.7250634
545.854,0.595259533,0.628120175,0.707863445
546.059,0.567193938,0.640905153,0.710809691
546.263,0.688730078,0.589612703,0.614681124
546.468,0.58740598,0.557018085,0.635989177
546.673,0.607762134,0.611815642,0.647142557
546.878,0.499544692,0.604085269,0.680248742
547.082,0.555950323,0.621507371,0.732966038
547.287,0.577361079,0.605585465,0.686518951
547.492,0.581919634,0.608216575,0.673773039
547.697,0.56389979,0.618852622,0.641686538
547.901,0.593605256,0.599448538,0.685371409
