,4.024,16.276,27.939
539.704,0.04245465,0.07020502,0.449494802
539.909,0.039694708,0.0775703,0.40183817
540.114,0.053713425,0.078918087,0.449704518
540.319,0.050431976,0.066785399,0.519459999
540.525,0.05206419,0.066757163,0.477652612
540.73,0.042891077,0.072646056,0.4857212
540.935,0.05440188,0.077592526,0.424090086
541.14,0.051281013,0.069150354,0.470587466
541.345,0.035802206,0.068412472,0.468249898
541.55,0.044342474,0.072998864,0.464126983
541.755,0.04959881,0.070029342,0.477867605
541.96,0.039782838,0.079040769,0.477728181
542.165,0.047498983,0.075159968,0.444222784
542.37,0.043052283,0.068323456,0.494851149
542.575,0.043968458,0.067289645,0.477618746
542.78,0.043011885,0.066171203,0.462959473
542.985,0.033051363,0.078456274,0.407928656
543.19,0.045525413,0.076736907,0.473644626
543.395,0.049801833,0.072152505,0.463408214
543.6,0.042405737,0.068969898,0.462927579
543.805,0.039678309,0.078214143,0.441331083
544.01,0.039959597,0.073300881,0.452850679
544.215,0.052565703,0.07253048,0.459627585
544.42,0.034921556,0.07379774,0.465448952
544.625,0.044846122,0.069574641,0.437520902
544.83,0.03931502,0.06671217,0.458165972
545.035,0.052005621,0.077831949,0.492044714
545.239,0.03161948,0.074759024,0.464501297
545.444,0.030389163,0.079921124,0.43059919
545.649,0.058982056,0.07277464,0.479135453
545.854,0.044640305,0.071498895,0.39683303
546.059,0.056379098,0.068309217,0.481834173
546.263,0.042603245,0.075798194,0.457777018
546.468,0.048353717,0.071336834,0.460603605
546.673,0.047768549,0.075527638,0.410595502
546.878,0.047259702,0.075150851,0.45118034
547.082,0.043815397,0.06727621,0.480453033
547.287,0.03700907,0.074563618,0.438243951
547.492,0.041035117,0.075676088,0.455479825
547.697,0.065872933,0.074225377,0.485970277
547.901,0.033632231,0.072221162,0.447770882
548.106,0.034548099,0.067249984,0.503566835
548.311,0.03438712,0.072260011,0.485199193
548.515,0.048721374,0.073164519,0.433852165
548.72,0.047417537,0.072897022,0.437092674
548.924,0.039658995,0.073974435,0.435982682
549.129,0.037563667,0.077174609,0.396541933
549.334,0.047589498,0.071688584,0.444575612
549.538,0.040662805,0.072771443,0.456687933
549.743,0.038673454,0.071930401,0.40824991
549.947,0.047595511,0.068947262,0.464452509
550.152,0.034969034,0.074398566,0.45886795
550.356,0.046097365,0.069084284,0.429630108
550.561,0.038899171,0.078927913,0.427400303
550.765,0.036023689,0.077661426,0.457590009
550.97,0.043761039,0.081273555,0.439564562
551.174,0.0463845,0.071471838,0.409272091
551.379,0.044670129,0.06960316,0.469266529
551.583,0.031772005,0.0724891,0.476928378
551.788,0.042780574,0.069930045,0.436082484
551.992,0.044525961,0.074757707,0.459376639
552.196,0.043079259,0.070707846,0.443940084
552.401,0.046614635,0.075360827,0.46426565
552.605,0.059733489,0.073939655,0.419614397
552.81,0.03227248,0.071694707,0.416464547
