,4021,15960,27816
516.847,1.098320794,1.888789763,4.3275715
517.053,1.100076545,1.811348727,4.476765979
517.26,1.071154028,1.869869333,4.486287274
517.467,1.101602332,1.741594465,4.511064669
517.673,1.114728673,1.821321623,4.350324018
517.88,1.060637699,1.881220927,4.368290666
518.086,1.120319266,1.805115699,4.520823917
518.293,1.117594161,1.802419576,4.559471464
518.499,1.073659133,1.822799945,4.451544402
518.706,1.139287446,1.749818837,4.588406946
518.912,1.107544989,1.751437076,4.511900058
519.119,1.101811461,1.775319916,4.518520212
519.325,1.117937146,1.975514839,4.56028871
519.532,1.084616625,1.804981719,4.62597538
519.738,1.134164452,1.843049711,4.585692266
519.945,1.091621615,1.93253588,4.702783763
520.151,1.124995612,1.743063814,4.634562336
520.358,1.200865079,1.799830329,4.521882593
520.564,1.123078248,1.879555684,4.607548441
520.771,1.181519061,1.836051637,4.676877017
520.977,1.133625012,1.946169143,4.630064794
521.183,1.178123985,1.940817012,4.597599244
521.39,1.149442943,1.813772919,4.764261211
521.596,1.19101747,1.895839512,4.63604542
521.802,1.169881559,1.975586426,4.870436116
522.009,1.167288508,1.963099426,4.925473807
522.215,1.197432452,2.019759049,4.850628939
522.421,1.163376717,1.930624064,4.767632831
522.628,1.233253913,2.129533296,4.881521042
522.834,1.172362938,1.990602898,4.779563414
523.04,1.128991778,1.890274552,4.749549464
523.246,1.194426034,1.962023132,4.693435001
523.453,1.170926119,1.885407574,4.814369808
523.659,1.16421246,2.041254637,4.778320806
523.865,1.164009344,1.961644144,4.87312081
524.071,1.135557829,2.0102565,4.752397562
524.277,1.216465747,1.94899265,4.849101916
524.484,1.24034796,1.976108041,4.874830621
524.69,1.24845549,1.934371365,4.929892033
524.896,1.153214037,2.003075941,4.859573938
525.102,1.207945585,1.882102683,4.782890773
525.308,1.175250739,1.949328348,4.899096423
525.514,1.174643388,1.985971322,4.921851945
525.72,1.233616069,1.921021338,4.881329294
525.926,1.218289428,2.002963809,4.968323837
526.132,1.226167024,2.046017358,4.9266001
526.338,1.203373913,2.077072681,4.971048508
526.544,1.210263115,1.970741634,5.01464267
526.75,1.208643569,2.079019363,5.149550082
526.957,1.198218564,1.96626647,5.055088667
527.163,1.189049722,2.025174741,4.952135172
527.368,1.238922424,2.032670776,4.885337957
527.574,1.260393821,2.013613755,5.217365189
527.78,1.247141342,2.075172329,5.150825508
527.986,1.260578437,2.049397167,4.985032116
528.192,1.211174238,2.048704767,5.22003057
528.398,1.20350039,2.035514203,5.156496753
528.604,1.259381482,2.133868127,5.201015088
528.81,1.266467644,2.006551611,5.131402671
529.016,1.292500836,2.056016757,4.985709834
529.222,1.259399666,1.970486748,5.069864917
529.428,1.21780248,2.103931244,5.067432347
529.633,1.217590907,2.1113105,4.971839986
529.839,1.267472457,2.042978838,5.155780878
530.045,1.204754223,2.073770829,5.263598121
530.251,1.264908832,2.077053047,5.17041502
530.457,1.263884166,2.055208048,5.085514731
530.663,1.301602713,2.044979989,5.167635484
530.868,1.236331758,2.086553144,5.10668273
531.074,1.245306964,2.111316808,5.010247804
531.28,1.215108342,2.071227074,5.14664109
531.485,1.243867146,2.140153798,5.098211001
531.691,1.264942744,2.130767901,4.959238788
531.897,1.223064639,2.104545523,5.148394978
532.103,1.255772941,2.173636328,5.182376992
532.308,1.273876059,2.05444551,5.171121065
532.514,1.2514002,2.219388091,5.216360019
532.72,1.23401333,2.072636796,5.211715734
532.925,1.266259251,2.097655196,5.293746242
533.131,1.23649576,2.11953555,5.22887466
533.336,1.287138828,2.062742886,5.228742635
533.542,1.269575417,2.129508284,5.267176858
533.748,1.258041937,2.19187696,5.244044722
533.953,1.321294912,2.117432388,5.201112253
534.159,1.286614923,2.144229894,5.263141116
534.364,1.330025746,2.16543893,5.277279375
534.57,1.287627625,2.059372314,5.164971129
534.775,1.281820338,2.003759193,5.272018745
534.981,1.30328098,2.106164866,5.218637081
535.186,1.254642797,2.069987542,5.142606406
535.392,1.269341137,2.1051044,5.232865868
535.597,1.297740991,2.153040175,5.22491689
535.803,1.300659472,2.080506738,5.279182601
536.008,1.286798784,2.0412443,5.245576976
536.214,1.33229752,1.990652202,5.317008651
536.419,1.287503825,2.163271112,5.342103797
536.624,1.325680115,2.261208569,5.266623902
536.83,1.331516787,2.200160149,5.268471328
537.035,1.294322327,2.211158389,5.289252642
537.241,1.293020929,2.068343215,5.505668171
537.446,1.32810174,2.17002752,5.432850635
537.651,1.296397603,2.151785989,5.348402322
537.857,1.306866155,2.13124222,5.393816329
538.062,1.304669861,2.220069956,5.304172263
538.267,1.292644084,2.192140054,5.414953676
538.472,1.286941612,2.136021059,5.274406496
538.678,1.331645407,2.183648125,5.384824312
538.883,1.312132772,2.078788023,5.25765778
539.088,1.288584224,2.173872145,5.323396514
539.293,1.324542917,2.158354297,5.365730803
539.499,1.285042197,2.182765815,5.51247122
539.704,1.370840327,2.138780565,5.456285269
539.909,1.36678823,2.190313728,5.399291269
540.114,1.332051968,2.175114887,5.373460651
540.319,1.349307466,2.256065836,5.530259477
540.525,1.319042122,2.180107997,5.387764319
540.73,1.334157374,2.291968416,5.43517169
540.935,1.273424658,2.178285432,5.503491004
541.14,1.31175755,2.190204402,5.438176805
541.345,1.359886091,2.281988297,5.412428186
541.55,1.301676047,2.216859915,5.34527907
541.755,1.360386992,2.147346434,5.417895587
541.96,1.336793819,2.24320947,5.650116765
542.165,1.313472059,2.184267867,5.423600627
542.37,1.285940059,2.293864615,5.474115227
542.575,1.335106925,2.22338134,5.49828041
542.78,1.325688014,2.283171247,5.414497709
542.985,1.347195361,2.149741956,5.379909705
543.19,1.373132102,2.128911941,5.473586907
543.395,1.341682441,2.21378282,5.364108456
543.6,1.363775947,2.1475312,5.340648692
543.805,1.281547552,2.286255014,5.330555718
544.01,1.369824218,2.118959337,5.438821105
544.215,1.330116663,2.212495718,5.468271078
544.42,1.341399935,2.214682533,5.478234176
544.625,1.353193654,2.219956176,5.644148604
544.83,1.31434318,2.268135997,5.524226722
545.035,1.384701535,2.265217852,5.598697837
545.239,1.395139177,2.301226456,5.471023795
545.444,1.382862828,2.244701674,5.483771753
545.649,1.301356317,2.254442493,5.538889847
545.854,1.297558753,2.178138012,5.446491432
546.059,1.36817269,2.304528243,5.588877191
546.263,1.347537654,2.255625618,5.39457539
546.468,1.342694542,2.331531058,5.442106099
546.673,1.35320383,2.168126536,5.488167418
546.878,1.335959136,2.174409375,5.593532752
547.082,1.360575201,2.220529189,5.419634004
547.287,1.337658089,2.151471668,5.448551572
547.492,1.398663003,2.217822634,5.560510215
547.697,1.32280931,2.27025537,5.435737954
547.901,1.344290649,2.196951146,5.586199222
548.106,1.33620393,2.168401365,5.610794073
548.311,1.350311551,2.272725599,5.522546096
548.515,1.352507586,2.276983715,5.44797642
548.72,1.431557704,2.267898151,5.493974203
548.924,1.358058895,2.236254689,5.46375014
549.129,1.343601131,2.217723651,5.561257175
549.334,1.40404216,2.203948004,5.570394865
549.538,1.300103135,2.213164119,5.489252582
549.743,1.327132197,2.266106261,5.353031211
549.947,1.31734999,2.095497395,5.553404816
550.152,1.318393679,2.215098111,5.370360437
550.356,1.349858828,2.285684608,5.375323031
550.561,1.359255185,2.227548447,5.286190657
550.765,1.307554412,2.232612088,5.459180672
550.97,1.369603484,2.258959482,5.440548266
551.174,1.401582091,2.287088317,5.338945485
551.379,1.316689837,2.190885967,5.36115481
551.583,1.378214032,2.248320724,5.480574342
