,5015,15096,25173,35246,45319,55386
699.859,0.150438299,0.238913428,0.145430468,0.044071687,0.091470967,0.258781263
700.053,0.135462388,0.221453968,0.146251587,0.043613391,0.082404823,0.176150016
700.247,0.172619081,0.268513369,0.186688819,0.048593851,0.079794516,0.273007224
700.441,0.16524176,0.308836562,0.159905602,0.05371275,0.086528781,0.179173898
700.635,0.165585268,0.232821385,0.155058795,0.048549978,0.088814671,0.36798763
700.829,0.155312079,0.246209349,0.137781081,0.040506688,0.078790975,0.212285526
701.023,0.163232858,0.250292346,0.146224899,0.033872125,0.085401056,0.31417295
701.216,0.162290023,0.260568819,0.169013569,0.038427939,0.084619469,0.216715101
701.41,0.156975494,0.271121381,0.170915169,0.051488758,0.091539276,0.140799332
701.604,0.158066446,0.235309154,0.132823193,0.043759285,0.081995121,0.157518045
701.798,0.146574602,0.23826381,0.154435386,0.046343245,0.090057337,0.24089517
701.992,0.167414744,0.238599456,0.137003757,0.048270502,0.08213808,0.211612932
702.185,0.161346334,0.233731151,0.159427649,0.049592482,0.08680335,0.141803768
702.379,0.155123198,0.255082583,0.142206557,0.04958921,0.087532093,0.162242559
702.573,0.165692118,0.231377096,0.155329491,0.05469669,0.084326478,0.207497871
702.767,0.163905096,0.231842856,0.167224194,0.048805512,0.083822214,0.128290205
702.96,0.153707083,0.220722987,0.15833059,0.050490907,0.08230469,0.220500017
703.154,0.158161173,0.21855058,0.174012219,0.039639889,0.085729422,0.1812283
703.348,0.137806318,0.186118539,0.174923259,0.043683022,0.084951282,0.219942441
703.541,0.175316289,0.1705654,0.160136927,0.044070711,0.080312512,0.2234244
703.735,0.150156828,0.29187953,0.181427682,0.050175018,0.082877608,0.197491638
703.929,0.152108694,0.23693722,0.151968909,0.039428809,0.08088414,0.266068191
704.122,0.16094996,0.250529044,0.174927821,0.045441611,0.078548503,0.187311199
704.316,0.157705854,0.227589283,0.147019162,0.04870027,0.086697226,0.204616099
704.509,0.156866314,0.283372461,0.129753147,0.046314639,0.075020001,0.226123131
704.703,0.15392657,0.256204634,0.135715323,0.05145491,0.082339323,0.225345321
704.897,0.144636924,0.183605187,0.148518526,0.055742729,0.079718481,0.233045571
705.09,0.151635504,0.255796978,0.148771605,0.066608681,0.083921845,0.295916594
705.284,0.148972096,0.20278923,0.130579904,0.038498424,0.082909532,0.310788935
705.477,0.162213472,0.205755278,0.150499606,0.052989611,0.085182578,0.241580433
705.671,0.14586208,0.270389092,0.153733665,0.040846442,0.07580289,0.211591926
705.864,0.155411192,0.289188867,0.152587442,0.049342999,0.086002567,0.156583337
