,10.019,38.18,65.97,94.647
521.183,0.501625145,1.606298992,0.234118025,0.003029613
521.39,0.507346051,1.596212757,0.229903332,0.00278823
521.596,0.491345141,1.627891895,0.248204267,0.003051235
521.802,0.539911034,1.62095609,0.249941059,0.002725634
522.009,0.507037801,1.612201505,0.239473098,0.002804966
522.215,0.517803909,1.623623034,0.236705535,0.002912659
522.421,0.502032822,1.653669997,0.24072149,0.003015696
522.628,0.513581129,1.637338773,0.235307517,0.002984867
522.834,0.51326346,1.658038568,0.251206764,0.00297788
523.04,0.500328738,1.596945324,0.233609553,0.003005158
523.246,0.528600658,1.667882986,0.2379961,0.00293845
523.453,0.500004386,1.643825269,0.240636865,0.003106974
523.659,0.52195831,1.619894564,0.248386654,0.002901417
523.865,0.526044475,1.625844346,0.256217551,0.00268228
524.071,0.554089281,1.687607541,0.250092898,0.002913123
524.277,0.516878123,1.671335117,0.243568952,0.002815632
524.484,0.51461636,1.65080395,0.257353105,0.003080911
524.69,0.51868725,1.629805135,0.252222153,0.003182475
524.896,0.509640787,1.662687889,0.249253769,0.002994676
525.102,0.542136794,1.64971522,0.248318563,0.003005827
525.308,0.505280515,1.64449545,0.261384491,0.002994326
525.514,0.514492988,1.728299565,0.246207967,0.003065464
525.72,0.53363609,1.654791897,0.255847439,0.003029525
525.926,0.525301051,1.693600108,0.256312707,0.002930111
526.132,0.543059806,1.697849476,0.252286294,0.003102752
526.338,0.548091171,1.663443698,0.250320842,0.003129246
526.544,0.52689696,1.66644581,0.249359903,0.003207773
526.75,0.523717825,1.63397911,0.246098609,0.002888454
526.957,0.530584516,1.706115867,0.253090611,0.003017168
527.163,0.536879593,1.726695657,0.258755035,0.003062688
527.368,0.534896881,1.690192638,0.233169448,0.002855764
527.574,0.547975361,1.655869375,0.258797663,0.003033021
527.78,0.526545963,1.680475865,0.254479687,0.003040266
527.986,0.537916761,1.699259523,0.248951656,0.003046403
528.192,0.547794537,1.683287706,0.262973367,0.002974542
528.398,0.570914338,1.714884747,0.262548867,0.002999615
528.604,0.531646746,1.741122969,0.255723556,0.003166194
528.81,0.543044498,1.696102559,0.263117627,0.003055464
529.016,0.549941539,1.714622376,0.259634661,0.003161257
529.222,0.560187217,1.740199699,0.261377793,0.003071341
529.428,0.52941836,1.704832476,0.247909688,0.003228318
529.633,0.533916817,1.713930502,0.257391893,0.00310207
